experiment,id,condition,phase,item,exposure,word,word_type,target_referent,selected_object,target_selected,selection,input
2,21291,Confirm,learning,10,1,mipen,one-shot,NA,flute,1,target,NA
2,21291,Confirm,learning,11,2,smick,target,NA,hammer,1,target,NA
2,21291,Confirm,learning,12,1,channer,target,NA,clarinet,1,target,NA
2,21291,Confirm,learning,13,1,zum,one-shot,NA,saw,1,target,NA
2,21291,Confirm,learning,14,2,channer,target,NA,clarinet,1,target,NA
2,21291,Confirm,learning,15,1,toma,filler,NA,paperclip,0,foil1,NA
2,21291,Confirm,learning,16,1,ruftin,filler,NA,pinecone,0,foil1,NA
2,21291,Confirm,learning,17,1,nortle,filler,NA,guitar,0,foil1,NA
2,21291,Confirm,learning,18,3,kuabid,target,NA,orchid,1,target,NA
2,21291,Confirm,learning,19,1,blicket,filler,NA,lamp,0,foil1,NA
2,21291,Confirm,learning,20,3,dax,target,NA,bookcase,1,target,NA
2,21291,Confirm,learning,21,2,plyder,filler,NA,headphone,1,target,NA
2,21291,Confirm,learning,22,2,heek,filler,NA,controller,0,foil2,NA
2,21291,Confirm,learning,23,2,toma,filler,NA,harp,0,foil2,NA
2,21291,Confirm,learning,24,3,smick,target,NA,pineapple,0,foil3,NA
2,21291,Confirm,learning,25,2,ruftin,filler,NA,screwdriver,0,foil2,NA
2,21291,Confirm,learning,26,3,channer,target,NA,clarinet,1,target,NA
