experiment,id,condition,phase,item,exposure,word,word_type,selected_object,target_selected,input
3,27,Confirm-first,learning,13,1,mipen,target,boat,1,obj1_1
3,27,Confirm-first,learning,14,1,zum,target,clarinet,1,obj3_1
3,27,Confirm-first,learning,15,2,yate,target,bed,1,obj1_3
3,27,Confirm-first,learning,16,2,fendle,target,bike,1,obj1_1
3,27,Confirm-first,learning,17,2,mipen,target,boat,1,obj1_1
3,27,Confirm-first,learning,18,2,zum,target,clarinet,1,obj1_3
3,27,Confirm-first,learning,19,1,yate,target,sunflower,0,obj4_1
3,27,Confirm-first,learning,20,1,fendle,target,ruler,0,obj4_1
3,27,Confirm-first,learning,21,1,mipen,target,violin,0,obj2_1
3,27,Confirm-first,learning,22,1,zum,target,train,0,obj2_1
3,27,Confirm-first,learning,23,2,glemp,filler,tuba,0,obj2_1
3,27,Confirm-first,learning,24,2,heek,filler,wrench,1,obj3_3
3,27,Confirm-first,learning,25,2,toma,filler,controller,1,obj1_2
3,27,Confirm-first,learning,26,2,ruftin,filler,ruler,0,obj2_4
3,27,Confirm-first,learning,27,2,nortle,filler,car,1,obj1_2
3,27,Confirm-first,learning,28,2,vep,filler,shuttlecock,1,obj3_1
3,27,Confirm-first,learning,29,2,kuabid,filler,skateboard,1,obj1_2
3,27,Confirm-first,learning,30,2,dax,filler,racket,1,obj1_1
3,27,Confirm-first,learning,31,2,smick,filler,keyboard,1,obj1_3
3,27,Confirm-first,learning,32,2,channer,filler,scissors,1,obj3_2
3,27,Confirm-first,learning,33,3,glemp,filler,bed,0,obj4_2
3,27,Confirm-first,learning,34,3,heek,filler,plane,0,obj3_2
3,27,Confirm-first,learning,35,3,toma,filler,controller,1,obj1_2
3,27,Confirm-first,learning,36,3,ruftin,filler,shoe,0,obj4_2
3,27,Confirm-first,learning,37,3,nortle,filler,car,1,obj1_2
3,27,Confirm-first,learning,38,3,vep,filler,notebook,1,obj1_2
3,27,Confirm-first,learning,39,3,kuabid,filler,shovel,0,obj2_1
3,27,Confirm-first,learning,40,3,dax,filler,racket,1,obj1_1
3,27,Confirm-first,learning,41,3,smick,filler,keyboard,1,obj1_3
3,27,Confirm-first,learning,42,3,channer,filler,scissors,0,obj3_1
3,27,Confirm-first,test,43,test,glemp,filler,glove,0,foil1_3_2
3,27,Confirm-first,test,44,test,heek,filler,pliers,0,foil1_2_1
3,27,Confirm-first,test,45,test,toma,filler,controller,1,target_2
3,27,Confirm-first,test,46,test,ruftin,filler,train,0,foil2_3_2
3,27,Confirm-first,test,47,test,nortle,filler,headphone,0,foil1_1_2
3,27,Confirm-first,test,48,test,vep,filler,mitt,0,foil1_1_2
3,27,Confirm-first,test,49,test,kuabid,filler,paperclip,0,foil1_1_2
3,27,Confirm-first,test,50,test,dax,filler,shoe,0,foil1_1_1
3,27,Confirm-first,test,51,test,smick,filler,pencil,0,foil1_1_3
3,27,Confirm-first,test,52,test,channer,filler,scissors,0,foil2_2_2
3,27,Confirm-first,test,53,test,yate,target,tuba,0,foil3_3_4
3,27,Confirm-first,test,54,test,fendle,target,ruler,0,foil3_1_4
3,27,Confirm-first,test,55,test,mipen,target,boat,1,target_1
3,27,Confirm-first,test,56,test,zum,target,clarinet,1,target_3
3,27,Confirm-first,debrief,other languages,NA,NA,NA,NA,NA,no
3,27,Confirm-first,debrief,Cheat,NA,NA,NA,NA,NA,Discard my data
3,27,Confirm-first,debrief,Strategies,NA,NA,NA,NA,NA,went with my gut feeling and what i could remember as i progressed.
3,27,Confirm-first,debrief,WriteDown,NA,NA,NA,NA,NA,i didn't keep any notes
3,27,Confirm-first,debrief,Other,NA,NA,NA,NA,NA,nothing comes to mind.
3,28,Conflict-first,learning,1,1,glemp,filler,glove,0,obj1_1
3,28,Conflict-first,learning,2,1,heek,filler,broccoli,0,obj1_1
3,28,Conflict-first,learning,3,1,toma,filler,flute,0,obj2_1
3,28,Conflict-first,learning,4,1,ruftin,filler,saw,0,obj3_1
3,28,Conflict-first,learning,5,1,nortle,filler,acorn,0,obj1_1
3,28,Conflict-first,learning,6,1,vep,filler,mitt,0,obj2_1
3,28,Conflict-first,learning,7,1,kuabid,filler,skateboard,0,obj3_1
3,28,Conflict-first,learning,8,1,dax,filler,plane,0,obj4_1
3,28,Conflict-first,learning,9,1,smick,filler,sandwich,0,obj1_1
3,28,Conflict-first,learning,10,1,channer,filler,harp,0,obj4_1
3,28,Conflict-first,learning,11,1,yate,target,shuttlecock,0,obj3_1
3,28,Conflict-first,learning,12,1,fendle,target,ruler,0,obj4_1
3,28,Conflict-first,learning,13,1,mipen,target,stapler,0,obj4_1
3,28,Conflict-first,learning,14,1,zum,target,train,0,obj2_1
3,28,Conflict-first,learning,15,1,yate,target,apple,1,obj2_1
3,28,Conflict-first,learning,16,1,fendle,target,bag,1,obj2_1
3,28,Conflict-first,learning,17,1,mipen,target,boat,1,obj1_1
3,28,Conflict-first,learning,18,1,zum,target,clarinet,1,obj3_1
3,28,Conflict-first,learning,19,2,yate,target,apple,1,obj1_2
3,28,Conflict-first,learning,20,2,fendle,target,car,1,obj3_1
3,28,Conflict-first,learning,21,2,mipen,target,boat,1,obj1_1
3,28,Conflict-first,learning,22,2,zum,target,clarinet,1,obj1_3
3,28,Conflict-first,learning,23,2,glemp,filler,tuba,0,obj2_1
3,28,Conflict-first,learning,24,2,heek,filler,drum,1,obj1_1
3,28,Conflict-first,learning,25,2,toma,filler,harp,1,obj3_1
3,28,Conflict-first,learning,26,2,ruftin,filler,hat,1,obj1_3
3,28,Conflict-first,learning,27,2,nortle,filler,shoe,0,obj4_2
3,28,Conflict-first,learning,28,2,vep,filler,notebook,1,obj1_2
3,28,Conflict-first,learning,29,2,kuabid,filler,sunflower,0,obj4_1
3,28,Conflict-first,learning,30,2,dax,filler,shovel,1,obj3_2
3,28,Conflict-first,learning,31,2,smick,filler,car,0,obj4_1
3,28,Conflict-first,learning,32,2,channer,filler,clover,0,obj2_4
3,28,Conflict-first,learning,33,3,glemp,filler,camera,0,obj3_2
3,28,Conflict-first,learning,34,3,heek,filler,plane,0,obj3_2
3,28,Conflict-first,learning,35,3,toma,filler,sandwich,0,obj4_3
3,28,Conflict-first,learning,36,3,ruftin,filler,shoe,0,obj4_2
3,28,Conflict-first,learning,37,3,nortle,filler,banana,0,obj3_4
3,28,Conflict-first,learning,38,3,vep,filler,notebook,1,obj1_2
3,28,Conflict-first,learning,39,3,kuabid,filler,ball,0,obj3_1
3,28,Conflict-first,learning,40,3,dax,filler,bookcase,0,obj4_1
3,28,Conflict-first,learning,41,3,smick,filler,bat,0,obj2_2
3,28,Conflict-first,learning,42,3,channer,filler,train,0,obj4_2
3,28,Conflict-first,test,43,test,glemp,filler,glove,0,foil1_3_2
3,28,Conflict-first,test,44,test,heek,filler,broccoli,0,foil1_1_1
3,28,Conflict-first,test,45,test,toma,filler,harp,0,foil2_2_1
3,28,Conflict-first,test,46,test,ruftin,filler,saw,0,foil1_1_3
3,28,Conflict-first,test,47,test,nortle,filler,skateboard,0,foil3_1_4
3,28,Conflict-first,test,48,test,vep,filler,mitt,0,foil1_1_2
3,28,Conflict-first,test,49,test,kuabid,filler,tuba,0,foil2_3_3
3,28,Conflict-first,test,50,test,dax,filler,plane,0,foil1_1_4
3,28,Conflict-first,test,51,test,smick,filler,pencil,1,target_2
3,28,Conflict-first,test,52,test,channer,filler,phone,1,target_1
3,28,Conflict-first,test,53,test,yate,target,apple,1,target_2
3,28,Conflict-first,test,54,test,fendle,target,ruler,0,foil3_1_4
3,28,Conflict-first,test,55,test,mipen,target,stapler,0,foil3_1_4
3,28,Conflict-first,test,56,test,zum,target,train,0,foil3_1_2
3,28,Conflict-first,debrief,other languages,NA,NA,NA,NA,NA,no
3,28,Conflict-first,debrief,Cheat,NA,NA,NA,NA,NA,My data is good
3,28,Conflict-first,debrief,Strategies,NA,NA,NA,NA,NA,association
3,28,Conflict-first,debrief,WriteDown,NA,NA,NA,NA,NA,no
3,28,Conflict-first,debrief,Other,NA,NA,NA,NA,NA,NA
3,30,Confirm-first,learning,1,1,glemp,filler,eraser,0,obj4_1
3,30,Confirm-first,learning,2,1,heek,filler,drum,0,obj2_1
3,30,Confirm-first,learning,3,1,toma,filler,controller,0,obj3_1
3,30,Confirm-first,learning,4,1,ruftin,filler,saw,0,obj3_1
3,30,Confirm-first,learning,5,1,nortle,filler,car,0,obj3_1
3,30,Confirm-first,learning,6,1,vep,filler,scissors,0,obj4_1
3,30,Confirm-first,learning,7,1,kuabid,filler,paperclip,0,obj2_1
3,30,Confirm-first,learning,8,1,dax,filler,plane,0,obj4_1
3,30,Confirm-first,learning,9,1,smick,filler,sandwich,0,obj1_1
3,30,Confirm-first,learning,10,1,channer,filler,phone,0,obj2_1
3,30,Confirm-first,learning,11,1,yate,target,bed,1,obj3_1
3,30,Confirm-first,learning,12,1,fendle,target,bag,1,obj2_1
3,30,Confirm-first,learning,13,1,mipen,target,hammer,1,obj3_1
3,30,Confirm-first,learning,14,1,zum,target,mouse,1,obj4_1
3,30,Confirm-first,learning,15,2,yate,target,bed,1,obj1_3
3,30,Confirm-first,learning,16,2,fendle,target,bag,1,obj1_2
3,30,Confirm-first,learning,17,2,mipen,target,hammer,1,obj1_3
3,30,Confirm-first,learning,18,2,zum,target,harp,0,obj2_2
3,30,Confirm-first,learning,19,1,yate,target,sunflower,0,obj4_1
3,30,Confirm-first,learning,20,1,fendle,target,printer,0,obj3_1
3,30,Confirm-first,learning,21,1,mipen,target,shovel,0,obj1_1
3,30,Confirm-first,learning,22,1,zum,target,train,0,obj2_1
3,30,Confirm-first,learning,23,2,glemp,filler,glove,1,obj1_4
3,30,Confirm-first,learning,24,2,heek,filler,pineapple,0,obj2_2
3,30,Confirm-first,learning,25,2,toma,filler,shovel,0,obj2_3
3,30,Confirm-first,learning,26,2,ruftin,filler,hat,1,obj1_3
3,30,Confirm-first,learning,27,2,nortle,filler,paperclip,0,obj2_3
3,30,Confirm-first,learning,28,2,vep,filler,wrench,0,obj2_4
3,30,Confirm-first,learning,29,2,kuabid,filler,flute,1,obj3_3
3,30,Confirm-first,learning,30,2,dax,filler,train,0,obj4_3
3,30,Confirm-first,learning,31,2,smick,filler,bag,0,obj2_1
3,30,Confirm-first,learning,32,2,channer,filler,mitt,1,obj3_4
3,30,Confirm-first,learning,33,3,glemp,filler,glove,1,obj1_4
3,30,Confirm-first,learning,34,3,heek,filler,rose,1,obj1_3
3,30,Confirm-first,learning,35,3,toma,filler,sandwich,0,obj4_3
3,30,Confirm-first,learning,36,3,ruftin,filler,hat,1,obj1_3
3,30,Confirm-first,learning,37,3,nortle,filler,acorn,1,obj1_4
3,30,Confirm-first,learning,38,3,vep,filler,goggles,0,obj2_2
3,30,Confirm-first,learning,39,3,kuabid,filler,skateboard,1,obj1_2
3,30,Confirm-first,learning,40,3,dax,filler,racket,1,obj1_1
