trace,memory,mse,mape,rmse
0.57,2,0.26693272916666644,1.3088840183509294,0.5166553291766828
0.57,2.25,0.26271110416666654,1.298824786324786,0.5125535134663175
0.57,2.5,0.27015913541666653,1.317982890271493,0.5197683478403302
0.57,2.75,0.2683506093750001,1.3139383798391155,0.5180256840881542
0.57,3,0.26959485937499994,1.3171812154348916,0.5192252491693754
0.57,3.25,0.2658978229166666,1.307542656485671,0.5156528123812247
0.57,3.5,0.2712659374999999,1.3215364190548011,0.5208319666648735
0.57,3.75,0.27433964062499977,1.3302354355203614,0.5237744176885692
0.57,4,0.27212685937500014,1.3249528657616896,0.5216577991125985
0.57,4.25,0.27550229687499994,1.3328097505027652,0.5248831268720685
0.57,4.5,0.27688951041666654,1.336731711915535,0.5262029175296034
0.57,4.75,0.27773717187500024,1.340136375062846,0.527007753145056
0.57,5,0.2777966875000001,1.3392620349421822,0.5270642157270783
0.57,5.25,0.2798988906250003,1.3449774541226756,0.5290547142073306
0.57,5.5,0.27698460937499997,1.3371645613373553,0.526293273161457
0.57,5.75,0.276386125,1.3360561211664153,0.5257243812112959
0.57,6,0.2764522916666667,1.3372179801407742,0.5257873064906252
0.57,6.25,0.2791081354166666,1.3438155951483157,0.5283068572493326
0.57,6.5,0.2783423385416666,1.3420633798391148,0.5275815942028935
0.57,6.75,0.2758220572916669,1.335055696958271,0.5251876400789216
0.57,7,0.2749797656249999,1.3327689008295622,0.5243851310105959
0.57,7.25,0.27645226041666693,1.337001948215184,0.525787276773285
0.57,7.5,0.2756586250000001,1.3356633358471597,0.5250320228328936
0.64,1,0.266123484375,1.308341974610357,0.5158715774056563
0.64,1.25,0.26960346354166653,1.3177829625439916,0.5192335346851805
0.64,1.5,0.2665673177083331,1.3091444350175963,0.5163015763178852
0.64,1.75,0.26719365625,1.3104751916792359,0.5169077831199681
0.64,2,0.2681254583333331,1.3132533622423321,0.5178083220008473
0.64,2.25,0.26963577604166644,1.3177963172448461,0.519264649327938
0.64,2.5,0.26952884895833307,1.3177480046505776,0.5191616790156348
0.64,2.75,0.26804946354166653,1.3136642156862741,0.5177349356008986
0.64,3,0.27120390625,1.3213042829311212,0.5207724131038433
0.64,3.25,0.2688748645833335,1.316419604700855,0.518531449946224
0.64,3.5,0.26903457291666655,1.3159836129964804,0.5186854277080344
0.64,3.75,0.26929700520833316,1.3160162141779783,0.51893834432265
0.64,4,0.2727174635416667,1.3262250974107592,0.522223576202441
0.64,4.25,0.27271175520833335,1.3257584684514832,0.5222181107624796
0.64,4.5,0.2740060729166667,1.3293720933886375,0.5234558939554188
0.64,4.75,0.27366390625,1.3286493684012064,0.5231289575716489
0.64,5,0.27279415625000014,1.3264717665912522,0.5222970000392498
0.64,5.25,0.27264156249999993,1.3270998303167418,0.5221509001237093
0.64,5.5,0.27092288541666687,1.3218211884112625,0.5205025316140806
0.64,5.75,0.2724973385416668,1.3263606083459027,0.5220127762245544
0.64,6,0.2753493802083332,1.3339354732277522,0.5247374393049663
0.64,6.25,0.2739531302083332,1.331088172448466,0.5234053211501897
0.64,6.5,0.2740379062499998,1.3308187217194565,0.5234862999640008
0.64,6.75,0.2765493020833335,1.337743526897939,0.5258795509271429
0.64,7,0.27292052604166656,1.3284482623177474,0.5224179610634253
0.64,7.25,0.27501287499999993,1.3341401143790848,0.5244166997722326
0.64,7.5,0.272667734375,1.3280884709653091,0.5221759611232597
0.71,1,0.2663919218749999,1.308531297134238,0.5161316904385933
0.71,1.25,0.26584409895833316,1.3077005561840118,0.5156007165999027
0.71,1.5,0.26323855729166673,1.3000797354198093,0.5130677901522047
0.71,1.75,0.2646351093749998,1.3054958521870281,0.514426971858008
0.71,2,0.26408996354166697,1.3027919180492717,0.5138968413423719
0.71,2.25,0.2651215416666665,1.3059459841628955,0.5148995452189354
0.71,2.5,0.26588069270833337,1.3078368526897939,0.515636201898522
0.71,2.75,0.26183289583333313,1.2973628393665153,0.5116960971449099
0.71,3,0.2653806354166667,1.3072472819255907,0.5151510801858681
0.71,3.25,0.26704671874999997,1.3106095242584213,0.5167656323228161
0.71,3.5,0.2677298906250001,1.313598620537959,0.517426217566331
0.71,3.75,0.2670683854166667,1.3112100930115635,0.5167865956240223
0.71,4,0.26607228125000004,1.3093620380844646,0.5158219472356717
0.71,4.25,0.27071079687499994,1.3214142628205126,0.5202987573260193
0.71,4.5,0.269494609375,1.3183077237305179,0.5191287021298283
0.71,4.75,0.2690108645833332,1.3172122454751127,0.5186625729540673
0.71,5,0.270291015625,1.3203796662895928,0.5198951967704645
0.71,5.25,0.2678424010416665,1.3142789247109095,0.5175349273640055
0.71,5.5,0.27081683854166677,1.3228683540723984,0.5204006519420078
0.71,5.75,0.27287383333333337,1.328046442936149,0.5223732701175792
0.71,6,0.2702558229166668,1.320462936777275,0.5198613497045792
0.71,6.25,0.27347231770833347,1.330254682001006,0.5229458076209555
0.71,6.5,0.2695865885416668,1.3202103758169936,0.5192172845174424
0.71,6.75,0.27273627604166645,1.3279741704374053,0.5222415878132135
0.71,7,0.2699771666666667,1.3207689165409755,0.519593270420881
0.71,7.25,0.274026171875,1.3310524289844141,0.5234750919337041
0.71,7.5,0.27277296875000007,1.3283524226998493,0.5222767166454964
0.78,1,0.2640695000000001,1.303439228255405,0.5138769307917997
0.78,1.25,0.2655568177083332,1.3075846845148313,0.5153220524180323
0.78,1.5,0.268457671875,1.3143146681749622,0.5181290108409294
0.78,1.75,0.2652188072916665,1.306316380718954,0.5149939876267164
0.78,2,0.26529744270833366,1.3073604040975373,0.5150703279245793
0.78,2.25,0.26785673958333317,1.313693281799899,0.5175487799071051
0.78,2.5,0.2662376093750002,1.3091463989441934,0.5159821793192089
0.78,2.75,0.27101157291666655,1.3225682660884863,0.5205877187532054
