trace,memory,mse,mape,rmse
0.5,9.25,0.019825678125879653,0.2418146508239352,0.14080368647830088
0.5,9.5,0.020410342664558084,0.24565565713190962,0.14286477055088873
0.5,9.75,0.020787542593973397,0.24813514077989934,0.14417885626531166
0.5,10,0.02156924655576436,0.25497855057880575,0.14686472195787645
0.5,10.25,0.02205856270799946,0.26135892508299685,0.14852125338819175
0.5,10.5,0.022621772289501598,0.26556126982255585,0.15040535990948461
0.57,3,0.018381207276915397,0.24035063331505319,0.13557731106979293
0.57,3.25,0.0184169719258342,0.24400749617665302,0.1357091445917857
0.57,3.5,0.018515743471451497,0.24290964889684616,0.13607256693195546
0.57,3.75,0.018914917942907398,0.24495315743931154,0.13753151618050097
0.57,4,0.0184375631261377,0.24186290275926167,0.1357849885890841
0.57,4.25,0.01881869141454772,0.24392163794826405,0.1371812356503167
0.57,4.5,0.018797056505277406,0.24460005543928576,0.1371023577670253
0.57,4.75,0.01909839109086537,0.24819818990302536,0.13819692865930622
0.57,5,0.018917767563514563,0.2453171161510958,0.1375418756725186
0.57,5.25,0.01925196696048536,0.2490652933081725,0.1387514575076073
0.57,5.5,0.019294201643633487,0.2458050748358905,0.1389035695856427
0.57,5.75,0.019207369066591786,0.24161819784912889,0.13859065288320055
0.57,6,0.019736025666198125,0.24817253071990059,0.14048496597927526
0.57,6.25,0.019621434724820006,0.24326254026149904,0.14007653167044082
0.57,6.5,0.0199192811906989,0.24807303090087782,0.14113568361934165
0.57,6.75,0.019900835763130065,0.24393506640710155,0.1410703220494306
0.57,7,0.02052925719985432,0.24698129224501308,0.1432803447785296
0.57,7.25,0.0207481886475268,0.2509004165050994,0.14404231547544213
0.57,7.5,0.02086321714562495,0.24956411687456576,0.1444410507633649
0.57,7.75,0.021546472649014433,0.25540290861198317,0.1467871678622298
0.57,8,0.021274692275401713,0.2518821314471338,0.1458584665879966
0.57,8.25,0.021261694682453175,0.25333273373240145,0.14581390428369023
0.57,8.5,0.021405582830844455,0.25145214922349796,0.14630646886192167
0.57,8.75,0.022450944755933108,0.2600413055924642,0.14983639329593165
0.57,9,0.023025384912172767,0.2633499290150646,0.15174117737836612
0.57,9.25,0.02329331037028343,0.26672159361873476,0.15262146104098018
0.57,9.5,0.023588461630325748,0.27123158495630695,0.15358535617149752
0.57,9.75,0.02387665829204494,0.2725049098128888,0.15452073741749014
0.57,10,0.02455300567222574,0.2782016480300887,0.1566939873518628
0.57,10.25,0.024889938422213057,0.2803120981826165,0.1577654538300862
0.57,10.5,0.025480929871429383,0.2828495816663372,0.15962747217014175
0.64,3,0.017591295427953717,0.23431851225524203,0.13263218096658788
0.64,3.25,0.017669088523713725,0.23480758787438757,0.13292512374910065
0.64,3.5,0.0181500992746577,0.23853316520465345,0.13472230429538273
0.64,3.75,0.01755875524237767,0.232997330005938,0.13250945340758774
0.64,4,0.018439888076864048,0.23941276193813363,0.13579354946706435
0.64,4.25,0.018348596188771046,0.23928802942166996,0.1354569901805405
0.64,4.5,0.01850460777939129,0.24203659288014007,0.13603164256668848
0.64,4.75,0.018992314434965872,0.243621003482903,0.1378126062265926
0.64,5,0.01930488806603268,0.24598516897118258,0.13894203131533914
0.64,5.25,0.01933510914496869,0.2447912259955503,0.13905074305795237
0.64,5.5,0.019441143781327375,0.24285907558193687,0.13943150211242572
0.64,5.75,0.019676821110361974,0.24613570153888262,0.14027409279821407
0.64,6,0.020017502975665864,0.24778290912475637,0.1414832250680831
0.64,6.25,0.02005269714465806,0.24892978955613232,0.14160754621367486
0.64,6.5,0.02075065876588822,0.2544827020304459,0.14405088950051026
0.64,6.75,0.020695050155696285,0.25351262979073425,0.14385774277283891
0.64,7,0.020970182194653304,0.2550944805341209,0.14481084971318034
0.64,7.25,0.02098693160225597,0.2505351290092436,0.14486867018874705
0.64,7.5,0.021252762085222296,0.25238986197618185,0.14578327093745116
0.64,7.75,0.022350154989210533,0.2617752600658494,0.14949968223782462
0.64,8,0.02194555244118655,0.2600484391456373,0.14814031335590777
0.64,8.25,0.022738513110747902,0.2630210712045083,0.1507929478150351
0.64,8.5,0.022749889373258076,0.26544249289821925,0.1508306645654592
0.64,8.75,0.02345531232140715,0.27178890858252647,0.15315127267315526
0.64,9,0.02353935820763809,0.27189419454677105,0.15342541578121302
0.64,9.25,0.024645757076897132,0.28034936852574166,0.15698967187970403
0.64,9.5,0.02461693685632409,0.27802774164121535,0.1568978548493385
0.64,9.75,0.02554332693195091,0.285426221413982,0.15982279853622547
0.64,10,0.025898904423619765,0.28582518528066125,0.16093136556811966
0.64,10.25,0.0265336331968034,0.28965617730205195,0.16289147674695384
0.64,10.5,0.026909148811913555,0.29508911589223946,0.16404008294290012
0.71,3,0.018362847427343863,0.2440000341349612,0.13550958426378507
0.71,3.25,0.01878106530672805,0.24503560540109545,0.1370440268918279
0.71,3.5,0.018982753971499816,0.2486627464410827,0.1377779153982953
0.71,3.75,0.019080312763415132,0.2482022463100464,0.13813150532523394
0.71,4,0.01926946916014285,0.24932317801988416,0.13881451350684787
0.71,4.25,0.019682812952351594,0.2516824822630263,0.14029544879414868
0.71,4.5,0.01986853594752554,0.25224722289231,0.1409557943027726
0.71,4.75,0.02004089340746388,0.25219241478944826,0.14156586243676078
0.71,5,0.02011019556600686,0.2520127822356078,0.14181042121793044
0.71,5.25,0.02022950398648287,0.25057231398490853,0.1422304608249684
0.71,5.5,0.020613192383377135,0.25506255924838234,0.14357295143367757
0.71,5.75,0.020679189219996993,0.2541748823449824,0.14380260505288836
0.71,6,0.02141744184914835,0.26091725041573643,0.14634699125417083
0.71,6.25,0.021447458024637624,0.2615198043312462,0.1464495067408478
0.71,6.5,0.02213023268304102,0.2639936300463621,0.14876233623817897
0.71,6.75,0.022359488500947475,0.2664787295388356,0.1495308948042092
0.71,7,0.02253484462993488,0.267534550858911,0.15011610383278298
0.71,7.25,0.023342945406799202,0.2739918554720338,0.15278398282149605
0.71,7.5,0.023174355914683142,0.27213214540033487,0.15223125800795034
0.71,7.75,0.02359911997140508,0.2737047158740884,0.15362005068156007
0.71,8,0.023858313380391766,0.2756101847771536,0.154461365332538
0.71,8.25,0.02494083001716269,0.28352774120375357,0.15792666024823893
0.71,8.5,0.024860686263982214,0.2844504186642531,0.15767271883234021
0.71,8.75,0.02493314374135918,0.28047463659240895,0.15790232341976218
0.71,9,0.025285995273413357,0.2841177866639164,0.15901570763108075
0.71,9.25,0.026379714042044432,0.2905217358128016,0.16241833037574432
0.71,9.5,0.026687745106662074,0.2920971038406706,0.16336384271515553
0.71,9.75,0.027565272333286126,0.29667649050630845,0.16602792636567537
